DATAFLOW,LAST UPDATE,freq,unit,vessel,tra_cov,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2007,56,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2008,59,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2009,52,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2010,64,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2011,26,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2012,26,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2013,26,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2014,26,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2015,27,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2016,41,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2017,41,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2018,52,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2019,61,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2020,48,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2021,55,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2022,59,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2023,54,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,FR,2024,57,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2008,36,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2009,24,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2010,16,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2011,15,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2012,16,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2013,20,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2014,20,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2015,19,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2016,14,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2017,16,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2018,20,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2019,24,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2020,33,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2021,18,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2022,18,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2023,5,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HR,2024,5,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2007,88,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2008,386,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2009,340,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2010,456,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2011,327,,
ESTAT:IWW_GO_ATYVE(1.0),26/09/25 23:00:00,A,MIO_TKM,BAR_NSP,INTL,HU,2012,326,,
